"","Q1","Q2"
"1",31,15
"2",42,11
"3",33,11
"4",31,12
"5",40,19
"6",38,15
"7",39,16
"8",36,20
"9",29,16
"10",40,11
"11",33,9
"12",28,9
"13",33,12
"14",32,16
"15",37,15
"16",37,12
"17",28,10
"18",35,15
"19",31,17
"20",31,14
"21",26,10
"22",31,16
"23",33,12
"24",31,13
"25",44,13
"26",35,11
"27",32,12
"28",43,14
"29",32,15
"30",35,10
"31",35,9
"32",38,12
"33",37,9
"34",40,4
"35",36,9
"36",34,9
"37",44,17
"38",36,15
"39",41,15
"40",45,9
"41",36,9
"42",35,15
"43",38,13
"44",33,9
"45",39,12
"46",29,10
"47",27,9
"48",35,12
"49",42,15
"50",34,8
